Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value
both	RBP	eCLIP	K562	FMR1	FMR1	ENCSR554UVB	ENCFF630KXK	/rhome/yzhan677/bigdata/eCLIP_K562/FMR1/FMR1_K562_ENCSR554UVB_ENCFF630KXK_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	70	351	2.6465028355387523	6.118180233571553	156	2567	0.41713827344895305	1.135804169557898e-12	10	34	0.3780718336483932	0.5926442391493811	14	41	0.6365665810916397	0.2552875099531843
both	RBP	eCLIP	K562	FXR2	FXR2	ENCSR767OEY	ENCFF111LMZ	/rhome/yzhan677/bigdata/eCLIP_K562/FXR2/FXR2_K562_ENCSR767OEY_ENCFF111LMZ_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	87	305	3.289224952741021	5.316367439428273	202	2210	0.6057293736141196	2.8656100846888516e-05	19	30	0.718336483931947	0.522921387484748	25	36	1.3764026402640264	0.28261981443591094
both	RBP	eCLIP	K562	HNRNPC	HNRNPC	ENCSR249ROI	ENCFF167CDB	/rhome/yzhan677/bigdata/eCLIP_K562/HNRNPC/HNRNPC_K562_ENCSR249ROI_ENCFF167CDB_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	31	50	1.172022684310019	0.8715356458079135	40	53	1.348867635807192	0.18866397428144033	14	2	0.5293005671077505	0.03486142583231654	15	2	15.258456860509312	5.6835910895316015e-06
both	RBP	eCLIP	K562	HNRNPL	HNRNPL	ENCSR795CAI	ENCFF917CBK	/rhome/yzhan677/bigdata/eCLIP_K562/HNRNPL/HNRNPL_K562_ENCSR795CAI_ENCFF917CBK_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	124	286	4.688090737240076	4.985183894021265	287	618	0.9374734745619315	0.5860422174344626	51	12	1.9281663516068055	0.20916855499389925	118	62	9.379818812644565	6.86127253224257e-16
both	RBP	eCLIP	K562	KHDRBS1	KHDRBS1	ENCSR628IDK	ENCFF027UTH	/rhome/yzhan677/bigdata/eCLIP_K562/KHDRBS1/KHDRBS1_K562_ENCSR628IDK_ENCFF027UTH_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	56	69	2.117202268431002	1.2027191912149207	82	114	1.7767925616179936	0.0018293165451439843	25	2	0.945179584120983	0.03486142583231654	34	2	27.361641221374047	4.752225914076523e-11
both	RBP	eCLIP	K562	PABPC4	PABPC4	ENCSR958FKZ	ENCFF452MJL	/rhome/yzhan677/bigdata/eCLIP_K562/PABPC4/PABPC4_K562_ENCSR958FKZ_ENCFF452MJL_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	93	246	3.516068052930057	4.287955377374934	221	519	0.8134270586436272	0.10707103456949499	11	11	0.4158790170132325	0.19173784207774097	18	12	2.173880030372058	0.06890524712005802
both	RBP	eCLIP	K562	PTBP1	PTBP1	ENCSR981WKN	ENCFF907HNN	/rhome/yzhan677/bigdata/eCLIP_K562/PTBP1/PTBP1_K562_ENCSR981WKN_ENCFF907HNN_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	256	539	9.678638941398866	9.395154261809308	636	1134	1.0334068251905961	0.6884273805784269	118	27	4.46124763705104	0.4706292487362733	279	36	9.875272977766052	1.1373596427131995e-35
both	RBP	eCLIP	K562	TIA1	TIA1	ENCSR057DWB	ENCFF918KMT	/rhome/yzhan677/bigdata/eCLIP_K562/TIA1/TIA1_K562_ENCSR057DWB_ENCFF918KMT_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	255	428	9.640831758034027	7.4603451281157405	428	739	1.323461267743323	0.0008015387205594674	122	19	4.612476370510397	0.3311835454070071	152	20	14.55234995932161	1.8135650681266502e-42
both	RBP	eCLIP	K562	U2AF2	U2AF2	ENCSR893RAV	ENCFF290DFO	/rhome/yzhan677/bigdata/eCLIP_K562/U2AF2/U2AF2_K562_ENCSR893RAV_ENCFF290DFO_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	318	505	12.022684310018903	8.802510022659927	533	894	1.4158169061426984	6.462416604100411e-06	149	65	5.633270321361058	1.1329963395502876	207	67	5.209122287968442	8.885076682326288e-31
both	TF	TF ChIP-seq	GM12878	EGR1	EGR1	ENCSR000BMQ	ENCFF637UJN	/rhome/yzhan677/bigdata/ChIP-seq_GM12878/EGR1/EGR1_GM12878_ENCSR000BMQ_ENCFF637UJN_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	213	316	7.111853088480801	4.595026901265086	282	464	1.5896643431098654	6.479563365317952e-07	85	42	2.8380634390651087	0.6107314235858659	102	43	4.753518245786287	1.4047130509910984e-17
